40;50;0;0;960
25;85;20;0;911
22;75;30;0;919
22;85;10;0;910
20;80;40;644;764
20;85;20;0;909
18;75;20;388;508
15;75;20;0;914
15;80;10;367;487
10;35;20;371;491
10;40;30;519;639
8;40;40;195;315
8;45;20;0;917
5;35;10;653;773
5;45;10;0;914
2;40;20;174;294
0;40;20;0;908
0;45;20;703;823
44;5;20;0;904
42;10;40;0;909
42;15;10;0;914
40;5;10;0;905
40;15;40;375;495
38;5;30;201;321
38;15;10;0;914
35;5;20;784;904
95;30;30;0;891
95;35;20;146;266
92;30;10;0;894
90;35;10;0;897
88;30;10;246;366
88;35;20;0;899
87;30;10;0;898
85;25;10;80;200
85;35;30;0;902
67;85;20;657;777
65;85;40;43;163
65;82;10;0;909
62;80;30;278;398
60;80;10;64;184
60;85;30;329;449
58;75;20;376;496
55;80;10;33;153
55;85;20;0;911
55;82;10;217;337
20;82;10;37;157
18;80;10;0;912
2;45;10;0;911
42;5;10;0;904
42;12;10;440;560
72;35;30;0;914
55;20;19;0;916
25;30;3;0;925
20;50;5;375;495
55;60;16;0;931
30;60;16;599;719
50;35;19;557;677
30;25;23;0;923
15;10;20;782;902
10;20;19;0;907
15;60;17;0;923
45;65;9;0;934
65;35;3;167;287
65;20;6;0;910
45;30;17;191;311
35;40;16;11;131
41;37;16;566;686
64;42;9;268;388
40;60;21;612;732
31;52;27;157;277
35;69;23;810;930
65;55;14;0;924
63;65;8;0;922
2;60;5;0;910
20;20;8;645;765
5;5;16;0;892
60;12;31;268;388
23;3;7;764;884
8;56;27;365;485
6;68;30;352;472
47;47;13;822;942
49;58;10;0;937
27;43;9;0;935
37;31;14;0;930
57;29;18;395;515
63;23;2;0;914
21;24;28;0;917
12;24;13;359;479
24;58;19;260;380
67;5;25;0;897
37;47;6;0;945
49;42;13;0;937
53;43;14;14;134
61;52;3;808;928
57;48;23;0;932
56;37;6;0;929
55;54;26;0;934
4;18;35;0;901
26;52;9;0;935
26;35;15;308;428
31;67;3;810;930
