35;35;0;0;230
41;49;10;0;204
35;17;7;0;202
55;45;13;0;197
55;20;19;149;159
15;30;26;0;199
25;30;3;99;109
20;50;5;0;198
10;43;9;95;105
55;60;16;97;107
30;60;16;124;134
20;65;12;67;77
50;35;19;0;205
30;25;23;159;169
15;10;20;32;42
30;5;8;61;71
10;20;19;75;85
5;30;2;157;167
20;40;12;87;97
15;60;17;76;86
45;65;9;126;136
45;20;11;0;201
45;10;18;97;107
55;5;29;68;78
65;35;3;153;163
65;20;6;172;182
45;30;17;0;208
35;40;16;37;47
41;37;16;39;49
64;42;9;63;73
40;60;21;71;81
31;52;27;0;202
35;69;23;141;151
53;52;11;37;47
65;55;14;0;183
63;65;8;143;153
2;60;5;41;51
20;20;8;0;198
5;5;16;83;93
60;12;31;44;54
40;25;9;85;95
42;7;5;97;107
24;12;5;31;41
23;3;7;132;142
11;14;18;69;79
6;38;16;32;42
2;48;1;117;127
8;56;27;51;61
13;52;36;0;192
6;68;30;108;118
47;47;13;0;203
49;58;10;88;98
27;43;9;0;208
37;31;14;95;105
57;29;18;140;150
63;23;2;136;146
53;12;6;130;140
32;12;7;101;111
36;26;18;200;210
21;24;28;0;202
17;34;3;162;172
12;24;13;76;86
24;58;19;58;68
27;69;10;34;44
15;77;9;73;83
62;77;20;51;61
49;73;25;127;137
67;5;25;83;93
56;39;36;142;152
37;47;6;50;60
37;56;5;182;192
57;68;15;77;87
47;16;25;0;197
44;17;9;78;88
46;13;8;149;159
49;11;18;0;192
49;42;13;73;83
53;43;14;179;189
61;52;3;96;106
57;48;23;92;102
56;37;6;182;192
55;54;26;94;104
15;47;16;0;196
14;37;11;0;198
11;31;7;101;111
16;22;41;0;196
4;18;35;94;104
28;18;26;93;103
26;52;9;74;84
26;35;15;176;186
31;67;3;95;105
15;19;1;0;194
22;22;2;18;28
18;24;22;188;198
26;27;27;0;207
25;24;20;0;205
22;27;11;0;204
25;21;12;133;143
19;21;10;0;198
20;26;9;83;93
18;18;17;185;195
